signup_id,sent_count,opened_count,open_frequency
656471,124,121,0.9758064516129032
210945,124,121,0.9758064516129032
577507,124,121,0.9758064516129032
489342,124,121,0.9758064516129032
604612,124,121,0.9758064516129032
653832,124,121,0.9758064516129032
662263,124,121,0.9758064516129032
657702,124,121,0.9758064516129032
679220,124,121,0.9758064516129032
649928,123,120,0.975609756097561
453494,163,159,0.9754601226993865
15871,122,119,0.9754098360655737
617464,121,118,0.9752066115702479
607038,40,39,0.975
699872,78,76,0.9743589743589743
651426,150,146,0.9733333333333334
48023,149,145,0.9731543624161074
301761,178,173,0.9719101123595506
262835,105,102,0.9714285714285714
655059,140,136,0.9714285714285714
671606,103,100,0.970873786407767
180557,68,66,0.9705882352941176
186073,68,66,0.9705882352941176
83768,68,66,0.9705882352941176
297784,68,66,0.9705882352941176
397185,68,66,0.9705882352941176
175632,68,66,0.9705882352941176
175908,68,66,0.9705882352941176
175912,68,66,0.9705882352941176
175973,68,66,0.9705882352941176
176244,68,66,0.9705882352941176
315393,68,66,0.9705882352941176
482026,68,66,0.9705882352941176
645112,165,160,0.9696969696969697
655248,99,96,0.9696969696969697
600436,164,159,0.9695121951219512
681704,163,158,0.9693251533742331
451975,162,157,0.9691358024691358
600430,97,94,0.9690721649484536
287226,96,93,0.96875
631474,96,93,0.96875
134598,96,93,0.96875
683015,95,92,0.968421052631579
702421,63,61,0.9682539682539683
699208,94,91,0.9680851063829787
45617,124,120,0.967741935483871
298507,124,120,0.967741935483871
279775,124,120,0.967741935483871
596274,124,120,0.967741935483871
568739,124,120,0.967741935483871
678354,124,120,0.967741935483871
678937,124,120,0.967741935483871
686709,124,120,0.967741935483871
48143,123,119,0.967479674796748
285086,92,89,0.967391304347826
617316,92,89,0.967391304347826
635107,122,118,0.9672131147540983
703962,61,59,0.9672131147540983
707531,30,29,0.9666666666666667
698186,88,85,0.9659090909090909
699505,88,85,0.9659090909090909
699484,117,113,0.9658119658119658
702409,87,84,0.9655172413793104
703366,58,56,0.9655172413793104
708778,29,28,0.9655172413793104
303122,57,55,0.9649122807017544
681183,141,136,0.9645390070921985
653116,140,135,0.9642857142857143
709221,28,27,0.9642857142857143
700695,111,107,0.963963963963964
678869,163,157,0.9631901840490797
707694,27,26,0.9629629629629629
707776,27,26,0.9629629629629629
46559,53,51,0.9622641509433962
674516,106,102,0.9622641509433962
637565,158,152,0.9620253164556962
711256,26,25,0.9615384615384616
123488,129,124,0.9612403100775194
683466,128,123,0.9609375
95282,51,49,0.9607843137254902
622180,127,122,0.9606299212598425
678999,150,144,0.96
709215,25,24,0.96
50358,124,119,0.9596774193548387
284980,124,119,0.9596774193548387
212102,124,119,0.9596774193548387
253922,124,119,0.9596774193548387
568583,124,119,0.9596774193548387
269683,124,119,0.9596774193548387
283071,124,119,0.9596774193548387
578027,124,119,0.9596774193548387
600235,124,119,0.9596774193548387
307156,99,95,0.9595959595959596
576194,99,95,0.9595959595959596
43294,49,47,0.9591836734693877
43773,98,94,0.9591836734693877
677419,146,140,0.958904109589041
700631,73,70,0.958904109589041
709243,24,23,0.9583333333333334
662116,119,114,0.957983193277311
691523,214,205,0.9579439252336449
89684,94,90,0.9574468085106383
298096,94,90,0.9574468085106383
690859,93,89,0.956989247311828
695082,116,111,0.9568965517241379
680823,162,155,0.9567901234567902
277649,46,44,0.9565217391304348
710061,23,22,0.9565217391304348
124122,68,65,0.9558823529411765
187004,68,65,0.9558823529411765
75091,68,65,0.9558823529411765
81991,68,65,0.9558823529411765
92667,68,65,0.9558823529411765
123465,68,65,0.9558823529411765
397190,68,65,0.9558823529411765
285097,88,84,0.9545454545454546
285134,66,63,0.9545454545454546
707766,22,21,0.9545454545454546
710238,22,21,0.9545454545454546
709427,22,21,0.9545454545454546
691516,174,166,0.9540229885057471
286669,65,62,0.9538461538461539
667768,21,20,0.9523809523809523
671084,126,120,0.9523809523809523
710737,21,20,0.9523809523809523
710773,21,20,0.9523809523809523
654397,146,139,0.952054794520548
664987,146,139,0.952054794520548
94805,62,59,0.9516129032258065
409764,124,118,0.9516129032258065
569167,124,118,0.9516129032258065
489994,124,118,0.9516129032258065
613887,124,118,0.9516129032258065
653665,124,118,0.9516129032258065
677386,124,118,0.9516129032258065
684291,124,118,0.9516129032258065
679710,124,118,0.9516129032258065
680705,123,117,0.9512195121951219
676727,123,117,0.9512195121951219
699175,82,78,0.9512195121951219
680252,163,155,0.950920245398773
709626,20,19,0.95
710698,20,19,0.95
711289,20,19,0.95
714627,20,19,0.95
566826,99,94,0.9494949494949495
576905,99,94,0.9494949494949495
696178,99,94,0.9494949494949495
566755,138,131,0.9492753623188406
617868,39,37,0.9487179487179487
602495,97,92,0.9484536082474226
671342,116,110,0.9482758620689655
603498,38,36,0.9473684210526315
880,114,108,0.9473684210526315
709686,19,18,0.9473684210526315
709852,19,18,0.9473684210526315
711035,19,18,0.9473684210526315
710433,19,18,0.9473684210526315
188632,94,89,0.9468085106382979
667930,188,178,0.9468085106382979
704125,75,71,0.9466666666666667
686964,37,35,0.9459459459459459
489202,129,122,0.9457364341085271
49677,128,121,0.9453125
656410,146,138,0.9452054794520548
661285,146,138,0.9452054794520548
584584,163,154,0.9447852760736196
679459,163,154,0.9447852760736196
587036,108,102,0.9444444444444444
711522,18,17,0.9444444444444444
688584,71,67,0.9436619718309859
677387,124,117,0.9435483870967742
686717,124,117,0.9435483870967742
572070,88,83,0.9431818181818182
650843,123,116,0.943089430894309
253770,123,116,0.943089430894309
685949,105,99,0.9428571428571428
5999,68,64,0.9411764705882353
68274,68,64,0.9411764705882353
282101,68,64,0.9411764705882353
396725,68,64,0.9411764705882353
169835,68,64,0.9411764705882353
710112,17,16,0.9411764705882353
709642,17,16,0.9411764705882353
709656,17,16,0.9411764705882353
709696,17,16,0.9411764705882353
709701,17,16,0.9411764705882353
709777,17,16,0.9411764705882353
709162,17,16,0.9411764705882353
709419,17,16,0.9411764705882353
709941,17,16,0.9411764705882353
709950,17,16,0.9411764705882353
710049,17,16,0.9411764705882353
710093,17,16,0.9411764705882353
710740,17,16,0.9411764705882353
648779,152,143,0.9407894736842105
660085,152,143,0.9407894736842105
45237,118,111,0.940677966101695
673678,118,111,0.940677966101695
95055,67,63,0.9402985074626866
273425,149,140,0.9395973154362416
585880,99,93,0.9393939393939394
303458,99,93,0.9393939393939394
416054,33,31,0.9393939393939394
572715,148,139,0.9391891891891891
705280,49,46,0.9387755102040817
501626,114,107,0.9385964912280702
633935,146,137,0.9383561643835616
920,97,91,0.9381443298969072
503516,97,91,0.9381443298969072
672288,16,15,0.9375
398540,96,90,0.9375
671815,32,30,0.9375
703147,80,75,0.9375
710769,16,15,0.9375
711077,16,15,0.9375
710539,16,15,0.9375
710623,16,15,0.9375
710673,16,15,0.9375
710681,16,15,0.9375
710427,16,15,0.9375
711571,16,15,0.9375
287349,127,119,0.937007874015748
418892,95,89,0.9368421052631579
578639,141,132,0.9361702127659575
4192,188,176,0.9361702127659575
714,124,116,0.9354838709677419
43839,124,116,0.9354838709677419
482043,124,116,0.9354838709677419
660069,124,116,0.9354838709677419
674987,124,116,0.9354838709677419
677094,124,116,0.9354838709677419
654189,31,29,0.9354838709677419
660195,31,29,0.9354838709677419
679394,31,29,0.9354838709677419
206855,123,115,0.9349593495934959
676447,123,115,0.9349593495934959
256108,46,43,0.9347826086956522
665164,46,43,0.9347826086956522
660017,46,43,0.9347826086956522
137513,107,100,0.9345794392523364
710279,15,14,0.9333333333333333
711161,15,14,0.9333333333333333
711217,15,14,0.9333333333333333
712166,15,14,0.9333333333333333
711752,15,14,0.9333333333333333
711797,15,14,0.9333333333333333
712289,15,14,0.9333333333333333
711848,15,14,0.9333333333333333
711717,15,14,0.9333333333333333
715084,15,14,0.9333333333333333
715161,15,14,0.9333333333333333
715670,15,14,0.9333333333333333
441,179,167,0.9329608938547486
632485,164,153,0.9329268292682927
51477,149,139,0.9328859060402684
276493,163,152,0.9325153374233128
679283,163,152,0.9325153374233128
137686,133,124,0.9323308270676691
698168,133,124,0.9323308270676691
264117,147,137,0.9319727891156463
698138,88,82,0.9318181818181818
608192,99,92,0.9292929292929293
705478,42,39,0.9285714285714286
711355,14,13,0.9285714285714286
712133,14,13,0.9285714285714286
714665,14,13,0.9285714285714286
712747,14,13,0.9285714285714286
712457,14,13,0.9285714285714286
93693,69,64,0.927536231884058
673550,124,115,0.9274193548387096
681831,124,115,0.9274193548387096
68356,137,127,0.927007299270073
47901,123,114,0.926829268292683
134690,123,114,0.926829268292683
277133,123,114,0.926829268292683
675212,123,114,0.926829268292683
168168,109,101,0.926605504587156
123422,68,63,0.9264705882352942
175692,68,63,0.9264705882352942
175732,68,63,0.9264705882352942
707745,27,25,0.9259259259259259
711001,27,25,0.9259259259259259
696932,148,137,0.9256756756756757
216041,94,87,0.925531914893617
70742,67,62,0.9253731343283582
672543,146,135,0.9246575342465754
282523,66,61,0.9242424242424242
296113,92,85,0.9239130434782609
259275,118,109,0.923728813559322
687888,26,24,0.9230769230769231
699486,13,12,0.9230769230769231
707096,13,12,0.9230769230769231
710714,13,12,0.9230769230769231
711602,13,12,0.9230769230769231
711653,13,12,0.9230769230769231
711709,13,12,0.9230769230769231
711812,13,12,0.9230769230769231
711855,13,12,0.9230769230769231
711859,13,12,0.9230769230769231
711815,13,12,0.9230769230769231
711581,13,12,0.9230769230769231
713984,13,12,0.9230769230769231
627845,116,107,0.9224137931034483
45252,128,118,0.921875
696187,127,117,0.9212598425196851
618359,114,105,0.9210526315789473
644066,177,163,0.9209039548022598
135039,139,128,0.920863309352518
139336,101,93,0.9207920792079208
586651,125,115,0.92
258194,25,23,0.92
621331,25,23,0.92
79894,124,114,0.9193548387096774
278734,124,114,0.9193548387096774
665505,99,91,0.9191919191919192
607936,136,125,0.9191176470588235
700299,74,68,0.918918918918919
707765,37,34,0.918918918918919
613955,123,113,0.9186991869918699
698993,86,79,0.9186046511627907
169599,98,90,0.9183673469387755
700167,73,67,0.9178082191780822
664522,133,122,0.9172932330827067
685040,145,133,0.9172413793103448
209102,132,121,0.9166666666666666
709778,12,11,0.9166666666666666
710309,24,22,0.9166666666666666
711979,12,11,0.9166666666666666
712086,12,11,0.9166666666666666
714199,12,11,0.9166666666666666
713231,12,11,0.9166666666666666
714675,12,11,0.9166666666666666
713548,12,11,0.9166666666666666
699637,130,119,0.9153846153846154
303053,94,86,0.9148936170212766
696613,94,86,0.9148936170212766
697790,152,139,0.9144736842105263
707742,35,32,0.9142857142857143
137317,163,149,0.9141104294478528
669594,93,85,0.9139784946236559
43190,81,74,0.9135802469135802
568958,46,42,0.9130434782608695
253871,46,42,0.9130434782608695
697792,23,21,0.9130434782608695
708054,34,31,0.9117647058823529
424176,147,134,0.9115646258503401
512953,124,113,0.9112903225806451
572055,124,113,0.9112903225806451
482400,124,113,0.9112903225806451
